accession	organism_name	assembly_level	number_of_contigs	contig_n50	number_of_scaffolds	scaffold_n50	total_ungapped_length	gc_percent	coverage	annotation_name	annotation_date	checkm_completeness	checkm_contamination	genome_notes	derived_from_metagenome	annotation_fails_MAG_check	assembly_accession	_is_refseq	_is_complete
GCF_000317025.1	{'infraspecific_names': {'strain': 'PCC 7327'}, 'organism_name': 'Pleurocapsa sp. PCC 7327', 'tax_id': 118163}	Complete Genome	1	4986817	1	4986817	4986817	45.0	30.0	GCF_000317025.1-RS_2024_08_22					0	0	GCF_000317025.1	True	True
GCF_000015645.1	{'infraspecific_names': {'strain': 'AS9601'}, 'organism_name': 'Prochlorococcus marinus str. AS9601', 'tax_id': 146891}	Complete Genome	1	1669886	1	1669886	1669886	31.5		GCF_000015645.1-RS_2025_05_21					0	0	GCF_000015645.1	True	True
GCF_047302875.1	{'infraspecific_names': {'strain': 'GP2'}, 'organism_name': 'Prochlorococcus marinus str. GP2', 'tax_id': 59925}	Complete Genome	1	1627281	1	1627281	1627281	31.0	25.0	GCF_047302875.1-RS_2025_01_29					0	0	GCF_047302875.1	True	True
GCF_047302905.1	{'infraspecific_names': {'strain': 'LG'}, 'organism_name': 'Prochlorococcus marinus str. LG', 'tax_id': 167556}	Complete Genome	1	1751940	1	1751940	1751940	36.5	54.0	GCF_047302905.1-RS_2025_01_29					0	0	GCF_047302905.1	True	True
GCF_027359595.1	{'infraspecific_names': {'strain': 'MIT 0912'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0912', 'tax_id': 1570009}	Complete Genome	1	1898947	1	1898947	1898947	35.0	200.0	GCF_027359595.1-RS_2025_03_18					0	0	GCF_027359595.1	True	True
GCF_027359525.1	{'infraspecific_names': {'strain': 'MIT 0913'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0913', 'tax_id': 1570010}	Complete Genome	1	1877877	1	1877877	1877877	35.0	200.0	GCF_027359525.1-RS_2025_03_18					0	0	GCF_027359525.1	True	True
GCF_027359475.1	{'infraspecific_names': {'strain': 'MIT 0915'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0915', 'tax_id': 1570012}	Complete Genome	1	1988105	1	1988105	1988105	35.5	200.0	GCF_027359475.1-RS_2025_03_18					0	0	GCF_027359475.1	True	True
GCF_027359575.1	{'infraspecific_names': {'strain': 'MIT 0917'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0917', 'tax_id': 1570014}	Complete Genome	1	1924674	1	1924674	1924674	34.5	200.0	GCF_027359575.1-RS_2025_03_18					0	0	GCF_027359575.1	True	True
GCF_027359415.1	{'infraspecific_names': {'strain': 'MIT 0918'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0918', 'tax_id': 3014997}	Complete Genome	1	1789313	1	1789313	1789313	34.5	200.0	GCF_027359415.1-RS_2025_03_18					0	0	GCF_027359415.1	True	True
GCF_027359375.1	{'infraspecific_names': {'strain': 'MIT 0919'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0919', 'tax_id': 3014998}	Complete Genome	1	1716770	1	1716770	1716770	37.0	200.0	GCF_027359375.1-RS_2025_03_18					0	0	GCF_027359375.1	True	True
GCF_047302745.1	{'infraspecific_names': {'strain': 'MIT 1012'}, 'organism_name': 'Prochlorococcus marinus str. MIT 1012', 'tax_id': 1570015}	Complete Genome	1	1897577	1	1897577	1897577	35.0	213.0	GCF_047302745.1-RS_2025_01_29					0	0	GCF_047302745.1	True	True
GCF_027359395.1	{'infraspecific_names': {'strain': 'MIT 1013'}, 'organism_name': 'Prochlorococcus marinus str. MIT 1013', 'tax_id': 3014999}	Complete Genome	1	2046712	1	2046712	2046712	34.5	200.0	GCF_027359395.1-RS_2025_03_18					0	0	GCF_027359395.1	True	True
GCF_027359355.1	{'infraspecific_names': {'strain': 'MIT 1214'}, 'organism_name': 'Prochlorococcus marinus str. MIT 1214', 'tax_id': 3015000}	Complete Genome	1	1934849	1	1934849	1934849	35.0	200.0	GCF_027359355.1-RS_2025_03_18					0	0	GCF_027359355.1	True	True
GCF_047302795.1	{'infraspecific_names': {'strain': 'MIT 9107'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9107', 'tax_id': 59921}	Complete Genome	1	1699808	1	1699808	1699808	31.0	47.0	GCF_047302795.1-RS_2025_01_29					0	0	GCF_047302795.1	True	True
GCF_047305125.1	{'infraspecific_names': {'strain': 'MIT 9201'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9201', 'tax_id': 93057}	Complete Genome	1	1685880	1	1685880	1685880	31.5	279.0	GCF_047305125.1-RS_2025_01_31					0	0	GCF_047305125.1	True	True
GCF_000018065.1	{'infraspecific_names': {'strain': 'MIT 9215'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9215', 'tax_id': 93060}	Complete Genome	1	1738790	1	1738790	1738790	31.0		GCF_000018065.1-RS_2025_05_22					0	0	GCF_000018065.1	True	True
GCF_000015965.1	{'infraspecific_names': {'strain': 'MIT 9301'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9301', 'tax_id': 167546}	Complete Genome	1	1641879	1	1641879	1641879	31.5		GCF_000015965.1-RS_2025_05_23					0	0	GCF_000015965.1	True	True
GCF_047947085.1	{'infraspecific_names': {'strain': 'MIT 9302'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9302', 'tax_id': 74545}	Complete Genome	1	1743611	1	1743611	1743611	31.0	20.0	GCF_047947085.1-RS_2025_02_25					0	0	GCF_047947085.1	True	True
GCF_000015705.1	{'infraspecific_names': {'strain': 'MIT 9303'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9303', 'tax_id': 59922}	Complete Genome	1	2682675	1	2682675	2682675	50.0		GCF_000015705.1-RS_2025_05_21					0	0	GCF_000015705.1	True	True
GCF_000012645.1	{'infraspecific_names': {'strain': 'MIT 9312'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9312', 'tax_id': 74546}	Complete Genome	1	1709204	1	1709204	1709204	31.0		GCF_000012645.1-RS_2025_01_27					0	0	GCF_000012645.1	True	True
GCF_000011485.1	{'infraspecific_names': {'strain': 'MIT9313'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9313', 'tax_id': 74547}	Complete Genome	1	2410873	1	2410873	2410873	50.5		GCF_000011485.1-RS_2025_03_11					0	0	GCF_000011485.1	True	True
GCF_000015665.1	{'infraspecific_names': {'strain': 'MIT 9515'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9515', 'tax_id': 167542}	Complete Genome	1	1704176	1	1704176	1704176	31.0		GCF_000015665.1-RS_2025_03_28					0	0	GCF_000015665.1	True	True
GCF_000015685.1	{'infraspecific_names': {'strain': 'NATL1A'}, 'organism_name': 'Prochlorococcus marinus str. NATL1A', 'tax_id': 167555}	Complete Genome	1	1864731	1	1864731	1864731	35.0		GCF_000015685.1-RS_2025_01_27					0	0	GCF_000015685.1	True	True
GCF_000012465.1	{'infraspecific_names': {'strain': 'NATL2A'}, 'organism_name': 'Prochlorococcus marinus str. NATL2A', 'tax_id': 59920}	Complete Genome	1	1842899	1	1842899	1842899	35.0		GCF_000012465.1-RS_2025_05_23					0	0	GCF_000012465.1	True	True
GCF_047304675.1	{'infraspecific_names': {'strain': 'PAC1'}, 'organism_name': 'Prochlorococcus marinus str. PAC1', 'tax_id': 59924}	Complete Genome	1	1927571	1	1927571	1927571	35.5	39.0	GCF_047304675.1-RS_2025_01_31					0	0	GCF_047304675.1	True	True
GCF_047305225.1	{'infraspecific_names': {'strain': 'SB'}, 'organism_name': 'Prochlorococcus marinus str. SB', 'tax_id': 59926}	Complete Genome	1	1674013	1	1674013	1674013	31.5	435.0	GCF_047305225.1-RS_2025_01_31					0	0	GCF_047305225.1	True	True
GCF_047302765.1	{'infraspecific_names': {'strain': 'SS2'}, 'organism_name': 'Prochlorococcus marinus str. SS2', 'tax_id': 167552}	Complete Genome	1	1751709	1	1751709	1751709	36.5	29.0	GCF_047302765.1-RS_2025_01_29					0	0	GCF_047302765.1	True	True
GCF_047304605.1	{'infraspecific_names': {'strain': 'SS35'}, 'organism_name': 'Prochlorococcus marinus str. SS35', 'tax_id': 167553}	Complete Genome	1	1751899	1	1751899	1751899	36.5	28.0	GCF_047304605.1-RS_2025_01_31					0	0	GCF_047304605.1	True	True
GCF_047302855.1	{'infraspecific_names': {'strain': 'SS51'}, 'organism_name': 'Prochlorococcus marinus str. SS51', 'tax_id': 167554}	Complete Genome	1	1627281	1	1627281	1627281	31.0	35.0	GCF_047302855.1-RS_2025_01_29					0	0	GCF_047302855.1	True	True
GCF_000007925.1	{'infraspecific_names': {'strain': 'CCMP1375; SS120'}, 'organism_name': 'Prochlorococcus marinus subsp. marinus str. CCMP1375', 'tax_id': 167539}	Complete Genome	1	1751080	1	1751080	1751080	36.5		GCF_000007925.1-RS_2025_04_10					0	0	GCF_000007925.1	True	True
GCF_000011465.1	{'infraspecific_names': {'strain': 'MED4'}, 'organism_name': 'Prochlorococcus marinus subsp. pastoris str. CCMP1986', 'tax_id': 59919}	Complete Genome	1	1657990	1	1657990	1657990	31.0		GCF_000011465.1-RS_2025_01_23					0	0	GCF_000011465.1	True	True
GCF_047497115.1	{'infraspecific_names': {'strain': 'MED4x substr. MED4x'}, 'organism_name': 'Prochlorococcus marinus subsp. pastoris str. CCMP1986', 'tax_id': 59919}	Complete Genome	1	1659597	1	1659597	1659597	31.0	44.0	GCF_047497115.1-RS_2025_02_07					0	0	GCF_047497115.1	True	True
GCF_047497125.1	{'infraspecific_names': {'strain': 'MED4ax substr. MED4ax'}, 'organism_name': 'Prochlorococcus marinus subsp. pastoris str. CCMP1986', 'tax_id': 59919}	Complete Genome	1	1659596	1	1659596	1659596	31.0	32.0	GCF_047497125.1-RS_2025_02_07					0	0	GCF_047497125.1	True	True
GCF_047302725.1	{'infraspecific_names': {'strain': 'Dvax-bc1017'}, 'organism_name': 'Prochlorococcus sp. Dvax-bc1017', 'tax_id': 3093726}	Complete Genome	1	1657989	1	1657989	1657989	31.0	156.0	GCF_047302725.1-RS_2025_01_29					0	0	GCF_047302725.1	True	True
GCF_047305115.1	{'infraspecific_names': {'strain': 'MED1'}, 'organism_name': 'Prochlorococcus sp. MED1', 'tax_id': 3082519}	Complete Genome	1	1661798	1	1661798	1661798	31.0	13.0	GCF_047305115.1-RS_2025_01_31					0	0	GCF_047305115.1	True	True
GCF_047304625.1	{'infraspecific_names': {'strain': 'MIT 0601'}, 'organism_name': 'Prochlorococcus sp. MIT 0601', 'tax_id': 1499498}	Complete Genome	1	1752272	1	1752272	1752272	36.5	39.0	GCF_047304625.1-RS_2025_01_31					0	0	GCF_047304625.1	True	True
GCF_047304615.1	{'infraspecific_names': {'strain': 'MIT 0602'}, 'organism_name': 'Prochlorococcus sp. MIT 0602', 'tax_id': 1499499}	Complete Genome	1	1752272	1	1752272	1752272	36.5	139.0	GCF_047304615.1-RS_2025_01_31					0	0	GCF_047304615.1	True	True
GCF_047303175.1	{'infraspecific_names': {'strain': 'MIT 0603'}, 'organism_name': 'Prochlorococcus sp. MIT 0603', 'tax_id': 1499500}	Complete Genome	1	1752272	1	1752272	1752272	36.5	49.0	GCF_047303175.1-RS_2025_01_29					0	0	GCF_047303175.1	True	True
GCF_000757845.1	{'infraspecific_names': {'strain': 'MIT 0604'}, 'organism_name': 'Prochlorococcus sp. MIT 0604', 'tax_id': 1501268}	Complete Genome	1	1780061	1	1780061	1780061	31.0	200.0	GCF_000757845.1-RS_2024_08_13					0	0	GCF_000757845.1	True	True
GCF_047303495.1	{'infraspecific_names': {'strain': 'MIT 0701'}, 'organism_name': 'Prochlorococcus sp. MIT 0701', 'tax_id': 1499502}	Complete Genome	1	2709388	1	2709388	2709388	50.5	18.0	GCF_047303495.1-RS_2025_01_29					0	0	GCF_047303495.1	True	True
GCF_047302865.1	{'infraspecific_names': {'strain': 'MIT 0702'}, 'organism_name': 'Prochlorococcus sp. MIT 0702', 'tax_id': 1499503}	Complete Genome	1	2716616	1	2716616	2716616	50.5	19.0	GCF_047302865.1-RS_2025_01_29					0	0	GCF_047302865.1	True	True
GCF_047303465.1	{'infraspecific_names': {'strain': 'MIT 0703'}, 'organism_name': 'Prochlorococcus sp. MIT 0703', 'tax_id': 1499504}	Complete Genome	1	2699779	1	2699779	2699779	50.5	186.0	GCF_047303465.1-RS_2025_01_29					0	0	GCF_047303465.1	True	True
GCF_047302985.1	{'infraspecific_names': {'strain': 'MIT 0707'}, 'organism_name': 'Prochlorococcus sp. MIT 0707', 'tax_id': 3082860}	Complete Genome	1	2696464	1	2696464	2696464	50.5	44.0	GCF_047302985.1-RS_2025_06_08					0	0	GCF_047302985.1	True	True
GCF_047302755.1	{'infraspecific_names': {'strain': 'MIT 0714'}, 'organism_name': 'Prochlorococcus sp. MIT 0714', 'tax_id': 3082540}	Complete Genome	1	2715465	1	2715465	2715465	50.5	14.0	GCF_047302755.1-RS_2025_01_29					0	0	GCF_047302755.1	True	True
GCF_047302805.1	{'infraspecific_names': {'strain': 'MIT 0718'}, 'organism_name': 'Prochlorococcus sp. MIT 0718', 'tax_id': 3082539}	Complete Genome	1	2683632	1	2683632	2683632	50.5	22.0	GCF_047302805.1-RS_2025_01_29					0	0	GCF_047302805.1	True	True
GCF_000757865.1	{'infraspecific_names': {'strain': 'MIT 0801'}, 'organism_name': 'Prochlorococcus sp. MIT 0801', 'tax_id': 1501269}	Complete Genome	1	1929203	1	1929203	1929203	35.0	200.0	GCF_000757865.1-RS_2024_08_13					0	0	GCF_000757865.1	True	True
GCF_047305155.1	{'infraspecific_names': {'strain': 'MIT 0916'}, 'organism_name': 'Prochlorococcus sp. MIT 0916', 'tax_id': 3082521}	Complete Genome	1	1944257	1	1944257	1944257	34.5	388.0	GCF_047305155.1-RS_2025_01_31					0	0	GCF_047305155.1	True	True
GCF_047305235.1	{'infraspecific_names': {'strain': 'MIT 1011'}, 'organism_name': 'Prochlorococcus sp. MIT 1011', 'tax_id': 3082520}	Complete Genome	1	1937723	1	1937723	1937723	34.5	253.0	GCF_047305235.1-RS_2025_01_31					0	0	GCF_047305235.1	True	True
GCF_047303415.1	{'infraspecific_names': {'strain': 'MIT 1201'}, 'organism_name': 'Prochlorococcus sp. MIT 1201', 'tax_id': 3082535}	Complete Genome	1	2592940	1	2592940	2592940	50.5	33.0	GCF_047303415.1-RS_2025_01_29					0	0	GCF_047303415.1	True	True
GCF_047305065.1	{'infraspecific_names': {'strain': 'MIT 1205'}, 'organism_name': 'Prochlorococcus sp. MIT 1205', 'tax_id': 3082524}	Complete Genome	1	1641776	1	1641776	1641776	31.5	19.0	GCF_047305065.1-RS_2025_01_31					0	0	GCF_047305065.1	True	True
GCF_034092465.1	{'infraspecific_names': {'strain': 'MIT 1223'}, 'organism_name': 'Prochlorococcus sp. MIT 1223', 'tax_id': 3096217}	Complete Genome	1	1795922	1	1795922	1795922	35.5	236.0	GCF_034092465.1-RS_2025_02_07					0	0	GCF_034092465.1	True	True
GCF_047303345.1	{'infraspecific_names': {'strain': 'MIT 1227'}, 'organism_name': 'Prochlorococcus sp. MIT 1227', 'tax_id': 3082536}	Complete Genome	1	2615763	1	2615763	2615763	50.5	888.0	GCF_047303345.1-RS_2025_01_29					0	0	GCF_047303345.1	True	True
GCF_034092375.1	{'infraspecific_names': {'strain': 'MIT 1300'}, 'organism_name': 'Prochlorococcus sp. MIT 1300', 'tax_id': 3096218}	Complete Genome	1	1855146	1	1855146	1855146	41.5	186.0	GCF_034092375.1-RS_2025_02_06					0	0	GCF_034092375.1	True	True
GCF_047305015.1	{'infraspecific_names': {'strain': 'MIT 1304'}, 'organism_name': 'Prochlorococcus sp. MIT 1304', 'tax_id': 3082525}	Complete Genome	1	1641776	1	1641776	1641776	31.5	30.0	GCF_047305015.1-RS_2025_01_31					0	0	GCF_047305015.1	True	True
GCF_047304515.1	{'infraspecific_names': {'strain': 'MIT 1306'}, 'organism_name': 'Prochlorococcus sp. MIT 1306', 'tax_id': 1799667}	Complete Genome	1	2520369	1	2520369	2520369	50.5	41.0	GCF_047304515.1-RS_2025_01_31					0	0	GCF_047304515.1	True	True
GCF_034092395.1	{'infraspecific_names': {'strain': 'MIT 1307'}, 'organism_name': 'Prochlorococcus sp. MIT 1307', 'tax_id': 3096219}	Complete Genome	1	2032419	1	2032419	2032419	40.0	317.0	GCF_034092395.1-RS_2025_02_06					0	0	GCF_034092395.1	True	True
GCF_047303165.1	{'infraspecific_names': {'strain': 'MIT 1312'}, 'organism_name': 'Prochlorococcus sp. MIT 1312', 'tax_id': 3082537}	Complete Genome	1	2619436	1	2619436	2619436	50.5	24.0	GCF_047303165.1-RS_2025_01_29					0	0	GCF_047303165.1	True	True
GCF_047303155.1	{'infraspecific_names': {'strain': 'MIT 1313'}, 'organism_name': 'Prochlorococcus sp. MIT 1313', 'tax_id': 3082538}	Complete Genome	1	2608057	1	2608057	2608057	50.0	21.0	GCF_047303155.1-RS_2025_01_29					0	0	GCF_047303155.1	True	True
GCF_034093315.1	{'infraspecific_names': {'strain': 'MIT 1314'}, 'organism_name': 'Prochlorococcus sp. MIT 1314', 'tax_id': 3096220}	Complete Genome	1	1704447	1	1704447	1704447	31.0	73.0	GCF_034093315.1-RS_2025_02_07					0	0	GCF_034093315.1	True	True
GCF_047304505.1	{'infraspecific_names': {'strain': 'MIT 1318'}, 'organism_name': 'Prochlorococcus sp. MIT 1318', 'tax_id': 3082531}	Complete Genome	1	2609429	1	2609429	2609429	50.0	29.0	GCF_047304505.1-RS_2025_01_31					0	0	GCF_047304505.1	True	True
GCF_047304905.1	{'infraspecific_names': {'strain': 'MIT 1323'}, 'organism_name': 'Prochlorococcus sp. MIT 1323', 'tax_id': 3082526}	Complete Genome	1	2461429	1	2461429	2461429	50.5	200.0	GCF_047304905.1-RS_2025_01_31					0	0	GCF_047304905.1	True	True
GCF_047304785.1	{'infraspecific_names': {'strain': 'MIT 1327'}, 'organism_name': 'Prochlorococcus sp. MIT 1327', 'tax_id': 3082527}	Complete Genome	1	2588322	1	2588322	2588322	50.5	201.0	GCF_047304785.1-RS_2025_01_31					0	0	GCF_047304785.1	True	True
GCF_034092415.1	{'infraspecific_names': {'strain': 'MIT 1341'}, 'organism_name': 'Prochlorococcus sp. MIT 1341', 'tax_id': 3096221}	Complete Genome	1	1937096	1	1937096	1937096	40.0	335.0	GCF_034092415.1-RS_2025_02_06					0	0	GCF_034092415.1	True	True
GCF_047304495.1	{'infraspecific_names': {'strain': 'MIT 1342'}, 'organism_name': 'Prochlorococcus sp. MIT 1342', 'tax_id': 3082532}	Complete Genome	1	2570241	1	2570241	2570241	50.5	29.0	GCF_047304495.1-RS_2025_01_31					0	0	GCF_047304495.1	True	True
GCF_047303505.1	{'infraspecific_names': {'strain': 'MIT 9116'}, 'organism_name': 'Prochlorococcus sp. MIT 9116', 'tax_id': 3082533}	Complete Genome	1	1695276	1	1695276	1695276	31.0	39.0	GCF_047303505.1-RS_2025_01_29					0	0	GCF_047303505.1	True	True
GCF_047305135.1	{'infraspecific_names': {'strain': 'MIT 9123'}, 'organism_name': 'Prochlorococcus sp. MIT 9123', 'tax_id': 3082523}	Complete Genome	1	1722367	1	1722367	1722367	31.0	62.56	GCF_047305135.1-RS_2025_01_31					0	0	GCF_047305135.1	True	True
GCF_047304685.1	{'infraspecific_names': {'strain': 'MIT 9311'}, 'organism_name': 'Prochlorococcus sp. MIT 9311', 'tax_id': 3082528}	Complete Genome	1	1709271	1	1709271	1709271	31.0	59.0	GCF_047304685.1-RS_2025_01_31					0	0	GCF_047304685.1	True	True
GCF_047303555.1	{'infraspecific_names': {'strain': 'MIT 9314'}, 'organism_name': 'Prochlorococcus sp. MIT 9314', 'tax_id': 3082534}	Complete Genome	1	1687907	1	1687907	1687907	31.0	277.0	GCF_047303555.1-RS_2025_01_29					0	0	GCF_047303555.1	True	True
GCF_047305145.1	{'infraspecific_names': {'strain': 'MIT 9321'}, 'organism_name': 'Prochlorococcus sp. MIT 9321', 'tax_id': 3082522}	Complete Genome	1	1655833	1	1655833	1655833	31.0	146.0	GCF_047305145.1-RS_2025_01_31					0	0	GCF_047305145.1	True	True
GCF_047304535.1	{'infraspecific_names': {'strain': 'MIT 9322'}, 'organism_name': 'Prochlorococcus sp. MIT 9322', 'tax_id': 3082529}	Complete Genome	1	1659516	1	1659516	1659516	31.0	31.0	GCF_047304535.1-RS_2025_01_31					0	0	GCF_047304535.1	True	True
GCF_047304525.1	{'infraspecific_names': {'strain': 'MIT 9401'}, 'organism_name': 'Prochlorococcus sp. MIT 9401', 'tax_id': 3082530}	Complete Genome	1	1649445	1	1649445	1649445	31.0	31.0	GCF_047304525.1-RS_2025_01_31					0	0	GCF_047304525.1	True	True
GCF_047302975.1	{'infraspecific_names': {'strain': 'SS52'}, 'organism_name': 'Prochlorococcus sp. SS52', 'tax_id': 1499501}	Complete Genome	1	1752106	1	1752106	1752106	36.5	19.0	GCF_047302975.1-RS_2025_01_29					0	0	GCF_047302975.1	True	True
GCF_029910235.1	{'infraspecific_names': {'strain': 'CCNP1313'}, 'organism_name': 'Pseudanabaena galeata CCNP1313', 'tax_id': 2602720}	Complete Genome	6	4928719	6	4928719	5842326	42.5	456.0	GCF_029910235.1-RS_2025_12_02					0	0	GCF_029910235.1	True	True
GCF_051131155.1	{'infraspecific_names': {'strain': 'Chao 2107'}, 'organism_name': 'Pseudanabaena minima str. Chao 2107', 'tax_id': 3158965}	Complete Genome	1	5355912	1	5355912	5355912	42.0	379.91	GCF_051131155.1-RS_2025_06_28					0	0	GCF_051131155.1	True	True
GCF_030323025.1	{'infraspecific_names': {'strain': 'Chao 1806'}, 'organism_name': 'Pseudanabaena mucicola str. Chao 1806', 'tax_id': 2942274}	Complete Genome	1	4530340	1	4530340	4530340	41.5	68.74	GCF_030323025.1-RS_2025_06_22					0	0	GCF_030323025.1	True	True
GCF_003967015.1	{'infraspecific_names': {'strain': 'ABRG5-3'}, 'organism_name': 'Pseudanabaena sp. ABRG5-3', 'tax_id': 685565}	Complete Genome	8	4796642	8	4796642	5657972	42.0	25.0	GCF_003967015.1-RS_2025_01_28					0	0	GCF_003967015.1	True	True
GCF_027942295.1	{'infraspecific_names': {'strain': 'Chao 1811'}, 'organism_name': 'Pseudanabaena sp. Chao 1811', 'tax_id': 2963092}	Complete Genome	1	4729581	1	4729581	4729581	42.5	1378.0	GCF_027942295.1-RS_2025_08_18					0	0	GCF_027942295.1	True	True
GCF_019056575.1	{'infraspecific_names': {'strain': 'FACHB 800'}, 'organism_name': 'Richelia sinica FACHB-800', 'tax_id': 1357546}	Complete Genome	1	5729487	1	5729487	5729487	39.5	100.0	GCF_019056575.1-RS_2025_03_08					0	0	GCF_019056575.1	True	True
GCF_000021805.1	{'infraspecific_names': {'strain': 'PCC 8801'}, 'organism_name': 'Rippkaea orientalis PCC 8801', 'tax_id': 41431}	Complete Genome	4	4679413	4	4679413	4787694	40.0		GCF_000021805.1-RS_2025_04_02					0	0	GCF_000021805.1	True	True
GCF_000316665.1	{'infraspecific_names': {'strain': 'PCC 7116'}, 'organism_name': 'Rivularia sp. PCC 7116', 'tax_id': 373994}	Complete Genome	3	8698463	3	8698463	8728773	37.5	30.0	GCF_000316665.1-RS_2024_08_22					0	0	GCF_000316665.1	True	True
GCF_000317575.1	{'infraspecific_names': {'strain': 'PCC 7437'}, 'organism_name': 'Stanieria cyanosphaera PCC 7437', 'tax_id': 111780}	Complete Genome	6	5041209	6	5041209	5544990	36.0	30.0	GCF_000317575.1-RS_2025_12_09					0	0	GCF_000317575.1	True	True
GCF_002355455.1	{'infraspecific_names': {'strain': 'NIES-3757'}, 'organism_name': 'Stanieria sp. NIES-3757', 'tax_id': 1807358}	Complete Genome	2	5319768	2	5319768	5463308	36.5	50.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_002355455.1	True	True
GCF_036630065.1	{'infraspecific_names': {'strain': 'IITB3'}, 'organism_name': 'Synechococcus elongatus IITB3', 'tax_id': 3121543}	Complete Genome	4	2745998	4	2745998	2798849	55.0	44.0	GCF_036630065.1-RS_2025_04_27					0	0	GCF_036630065.1	True	True
GCF_036630075.1	{'infraspecific_names': {'strain': 'IITB4'}, 'organism_name': 'Synechococcus elongatus IITB4', 'tax_id': 3115654}	Complete Genome	2	2887410	2	2887410	2899361	55.0	44.0	GCF_036630075.1-RS_2025_04_28					0	0	GCF_036630075.1	True	True
GCF_036630115.1	{'infraspecific_names': {'strain': 'IITB5'}, 'organism_name': 'Synechococcus elongatus IITB5', 'tax_id': 3115655}	Complete Genome	5	2744952	5	2744952	2799574	55.0	44.0	GCF_036630115.1-RS_2025_04_27					0	0	GCF_036630115.1	True	True
GCF_036630085.1	{'infraspecific_names': {'strain': 'IITB6'}, 'organism_name': 'Synechococcus elongatus IITB6', 'tax_id': 3115656}	Complete Genome	7	2775312	7	2775312	2886472	54.5	44.0	GCF_036630085.1-RS_2025_04_28					0	0	GCF_036630085.1	True	True
GCF_036630095.1	{'infraspecific_names': {'strain': 'IITB7'}, 'organism_name': 'Synechococcus elongatus IITB7', 'tax_id': 3115657}	Complete Genome	3	2754161	3	2754161	2803161	55.0	44.0	GCF_036630095.1-RS_2025_04_28					0	0	GCF_036630095.1	True	True
GCF_036630105.1	{'infraspecific_names': {'strain': 'IITB8'}, 'organism_name': 'Synechococcus elongatus IITB8', 'tax_id': 3115658}	Complete Genome	5	2745998	5	2745998	2800620	55.0	44.0	GCF_036630105.1-RS_2025_04_28					0	0	GCF_036630105.1	True	True
GCF_050422935.1	{'infraspecific_names': {'strain': 'M14.2'}, 'organism_name': 'Synechococcus elongatus M14.2', 'tax_id': 3242107}	Complete Genome	1	2717027	1	2717027	2717027	55.0	120.0	GCF_050422935.1-RS_2025_05_20					0	0	GCF_050422935.1	True	True
GCF_003846445.2	{'infraspecific_names': {'strain': 'PCC 11801'}, 'organism_name': 'Synechococcus elongatus PCC 11801', 'tax_id': 2219813}	Complete Genome	7	2716860	7	2716860	2804843	55.0	251.7	GCF_003846445.2-RS_2025_08_19					0	0	GCF_003846445.2	True	True
GCF_009498715.2	{'infraspecific_names': {'strain': 'PCC 11802'}, 'organism_name': 'Synechococcus elongatus PCC 11802', 'tax_id': 2283154}	Complete Genome	5	2775312	5	2775312	2804512	55.0	44.0	GCF_009498715.2-RS_2025_05_01					0	0	GCF_009498715.2	True	True
GCF_022984195.1	{'infraspecific_names': {'strain': 'PCC 6301'}, 'organism_name': 'Synechococcus elongatus PCC 6301', 'tax_id': 269084}	Complete Genome	3	2695389	3	2695389	2749599	55.5	900.0	GCF_022984195.1-RS_2025_04_10					0	0	GCF_022984195.1	True	True
GCF_000010065.1	{'infraspecific_names': {'strain': 'PCC 6301'}, 'organism_name': 'Synechococcus elongatus PCC 6301', 'tax_id': 269084}	Complete Genome	1	2696255	1	2696255	2696255	55.5		GCF_000010065.1-RS_2025_03_15					0	0	GCF_000010065.1	True	True
GCF_000012525.1	{'infraspecific_names': {'strain': 'PCC 7942'}, 'organism_name': 'Synechococcus elongatus PCC 7942 = FACHB-805', 'tax_id': 1140}	Complete Genome	2	2695903	2	2695903	2742269	55.5		GCF_000012525.1-RS_2025_04_10					0	0	GCF_000012525.1	True	True
GCF_030544905.1	{'infraspecific_names': {'strain': 'UTEX 2434'}, 'organism_name': 'Synechococcus elongatus PCC 7942 = FACHB-805', 'tax_id': 1140}	Complete Genome	3	2695906	3	2695906	2750114	55.5	105.0	GCF_030544905.1-RS_2025_07_25					0	0	GCF_030544905.1	True	True
